example_id                                                             | status | run_time        |
./spec/controllers/reports_controller_spec.rb[1:5:1]                   | passed | 0.04721 seconds |
./spec/controllers/reports_controller_spec.rb[1:5:2]                   | passed | 0.04539 seconds |
./spec/controllers/reports_controller_spec.rb[1:5:3]                   | passed | 0.01817 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1]             | passed | 0.01313 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1:1]           | passed | 0.01956 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:2:1]           | passed | 0.018 seconds   |
./spec/controllers/user_sessions_controller_spec.rb[1:3:1]             | passed | 0.01016 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed | 0.0285 seconds  |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed | 0.0301 seconds  |
./spec/controllers/users_controller_spec.rb[1:2:2]                     | passed | 0.02879 seconds |
./spec/controllers/users_controller_spec.rb[1:2:3]                     | passed | 0.02849 seconds |
./spec/controllers/users_controller_spec.rb[1:2:4]                     | passed | 0.02789 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1]                     | passed | 0.02332 seconds |
./spec/controllers/users_controller_spec.rb[1:4:1]                     | passed | 0.0176 seconds  |
./spec/controllers/users_controller_spec.rb[1:5:1]                     | passed | 0.02236 seconds |
./spec/controllers/users_controller_spec.rb[1:6:1:1]                   | passed | 0.0229 seconds  |
./spec/controllers/users_controller_spec.rb[1:6:1:2]                   | passed | 0.02133 seconds |
./spec/controllers/users_controller_spec.rb[1:6:2:1]                   | passed | 0.01975 seconds |
./spec/controllers/users_controller_spec.rb[1:7:1:1]                   | passed | 0.0241 seconds  |
./spec/controllers/users_controller_spec.rb[1:7:1:2]                   | passed | 0.02526 seconds |
./spec/controllers/users_controller_spec.rb[1:7:2:1]                   | passed | 0.02376 seconds |
./spec/controllers/users_controller_spec.rb[1:8:1]                     | passed | 0.02551 seconds |
./spec/controllers/users_controller_spec.rb[1:8:2]                     | passed | 0.02964 seconds |
./spec/controllers/users_controller_spec.rb[1:8:3]                     | passed | 0.02522 seconds |
./spec/helpers/clients_helper_spec.rb[1:1]                             | passed | 0.01775 seconds |
./spec/models/client/invoice/error_log_spec.rb[1:1:1]                  | passed | 0.05345 seconds |
./spec/models/client/invoice/error_log_spec.rb[1:1:2]                  | passed | 0.04114 seconds |
./spec/models/client/invoice/error_log_spec.rb[1:2:1:1]                | passed | 0.02534 seconds |
./spec/models/client/invoice/error_log_spec.rb[1:2:2:1]                | passed | 0.02345 seconds |
./spec/models/client/invoice_spec.rb[1:1:1]                            | passed | 0.00918 seconds |
./spec/models/client/invoice_spec.rb[1:2:1]                            | passed | 0.01315 seconds |
./spec/models/client/invoice_spec.rb[1:2:2]                            | passed | 0.01427 seconds |
./spec/models/client/invoice_spec.rb[1:3:1:1]                          | passed | 0.05547 seconds |
./spec/models/client/invoice_spec.rb[1:3:2:1]                          | passed | 0.06361 seconds |
./spec/models/client/invoice_spec.rb[1:3:3:1]                          | passed | 0.07428 seconds |
./spec/models/client/invoice_spec.rb[1:3:4:1]                          | passed | 0.0823 seconds  |
./spec/models/client/invoice_spec.rb[1:3:5:1]                          | passed | 0.05309 seconds |
./spec/models/client/invoice_spec.rb[1:4:1:1]                          | passed | 0.01912 seconds |
./spec/models/client/invoice_spec.rb[1:4:1:2]                          | passed | 0.01967 seconds |
./spec/models/client/invoice_spec.rb[1:4:2:1]                          | passed | 0.01974 seconds |
./spec/models/client/invoice_spec.rb[1:4:2:2]                          | passed | 0.02131 seconds |
./spec/models/client/invoice_spec.rb[1:4:3:1]                          | passed | 0.02868 seconds |
./spec/models/client/invoice_spec.rb[1:4:3:2]                          | passed | 0.02694 seconds |
./spec/models/client/invoice_spec.rb[1:4:4:1]                          | passed | 0.02345 seconds |
./spec/models/client/invoice_spec.rb[1:4:4:2]                          | passed | 0.02151 seconds |
./spec/models/client/invoice_spec.rb[1:4:5:1]                          | passed | 0.02047 seconds |
./spec/models/client/plan_spec.rb[1:1:1]                               | passed | 0.01113 seconds |
./spec/models/client/plan_spec.rb[1:1:2]                               | passed | 0.011 seconds   |
./spec/models/client/plan_spec.rb[1:1:3]                               | passed | 0.01078 seconds |
./spec/models/client/plan_spec.rb[1:1:4]                               | passed | 0.01737 seconds |
./spec/models/client/plan_spec.rb[1:2:1]                               | passed | 0.00936 seconds |
./spec/models/client/plan_spec.rb[1:2:2]                               | passed | 0.00956 seconds |
